,covid,pcr,fever,no_smell
-7,0.14005155033519498,-0.0697119783551007,0.07847633297427112,-0.17676709008970537
-6,0.11954061498004467,-0.07590352826688668,0.14739539872424096,-0.05146640779034703
-5,0.13356075542357657,-0.049646552826161136,0.18299809294646124,0.054175438856231536
-4,0.20132365427286678,0.02582555206747391,0.23580017368367026,0.0428986684197247
-3,0.2917006267903234,0.12009435732995576,0.331267041032008,0.130998788061219
-2,0.39734318127492685,0.19803990117018525,0.4091881871597902,0.13758779110523445
-1,0.5148759841585687,0.34068922266056095,0.48089992796015285,0.15621093655537183
0,0.5927340088861838,0.4689496626925252,0.5642379882497076,0.14216752911405092
1,0.5356017096334765,0.426919518421164,0.5949785416534972,0.2558945545101401
2,0.5351391953583879,0.4237150762069632,0.6159351572267363,0.36782910131618096
3,0.5617917828456984,0.4686900699991233,0.6296503970469899,0.2623624563622023
4,0.5940975750278938,0.5274492332873216,0.6673455550419447,0.32222564530819214
5,0.6963075475015974,0.598511466721252,0.7545798257055306,0.3187567287931189
6,0.7751555052686301,0.7159449596791169,0.8046115482152194,0.41232707833767845
7,0.8258837551897642,0.8156357988953805,0.8186302535041633,0.3923689559964941
8,0.7364587901810554,0.7491028239470436,0.8254288950072316,0.44681938394215714
9,0.6613440752246814,0.6767656349300875,0.7854829819177203,0.4468926378586818
10,0.6467999191075188,0.6810189516290178,0.7326724733933465,0.43081738156540683
11,0.6272284213993446,0.7208482971346393,0.7492845060780464,0.4652999796298716
12,0.6603023524895152,0.7321430613920651,0.7661194600069489,0.359701328424525
13,0.7358447318706959,0.7919887290437269,0.7550587179692514,0.4151966317902225
14,0.7904511011798723,0.8691085905638105,0.7473634506217204,0.5204238402360936
15,0.6987784940134264,0.7345254970745229,0.6626093075234227,0.4565526653209685
16,0.5824998000225153,0.5874328075127118,0.553411998279871,0.4010632080378518
17,0.5172848314823076,0.5279498967354359,0.4703812648777584,0.33209245448850766
18,0.41564766160424954,0.4795716148918996,0.3856524549784341,0.3240660957661786
19,0.39338255767909486,0.440997447803862,0.39133054775975223,0.11302661451628855
20,0.40870733530589626,0.4470906804787229,0.364356525782525,0.15866854293319788
21,0.43041475257360773,0.47595920310431844,0.27556160490553216,0.250809035396336
22,0.2686677784732952,0.30914460675645183,0.20238693140934166,0.2897793815213114
23,0.10341290560104245,0.1310773902178325,0.08544447224089192,0.11526209818510584
24,0.026989120091057302,0.04366365505816816,-0.02975956583550243,-0.01784675027323974
