day,covid,pcr,fiebre,perdida_olfato,antigenos
2021-11-28,29,33,30,23,9
2021-11-29,43,38,33,34,13
2021-11-30,44,34,35,14,14
2021-12-01,43,31,41,13,14
2021-12-02,49,31,37,0,15
2021-12-03,63,35,34,40,16
2021-12-04,59,29,34,19,12
2021-12-05,42,29,32,36,12
2021-12-06,42,29,36,32,12
2021-12-07,40,33,47,16,13
2021-12-08,33,26,49,0,13
2021-12-09,45,34,36,26,16
2021-12-10,44,28,47,0,16
2021-12-11,36,29,42,0,18
2021-12-12,30,26,47,35,13
2021-12-13,46,38,41,18,18
2021-12-14,47,41,49,27,25
2021-12-15,60,51,59,0,33
2021-12-16,61,53,54,33,40
2021-12-17,66,62,55,74,41
2021-12-18,63,55,56,34,47
2021-12-19,60,57,58,0,45
2021-12-20,95,92,52,0,81
2021-12-21,100,98,78,72,86
2021-12-22,85,89,70,74,84
2021-12-23,84,100,68,24,100
2021-12-24,64,78,74,100,96
2021-12-25,61,64,75,72,52
2021-12-26,64,70,78,0,61
2021-12-27,80,87,91,76,73
2021-12-28,82,97,91,59,81
2021-12-29,81,80,81,19,73
2021-12-30,70,71,74,45,64
2021-12-31,51,63,67,23,68
2022-01-01,47,46,70,42,41
2022-01-02,56,50,78,54,41
2022-01-03,61,60,89,56,50
2022-01-04,59,55,100,69,52
2022-01-05,56,48,74,27,42
2022-01-06,43,36,74,58,35
2022-01-07,51,43,62,14,36
2022-01-08,46,38,71,62,37
2022-01-09,48,37,87,41,46
2022-01-10,53,43,86,61,48
2022-01-11,53,41,81,51,47
2022-01-12,50,37,72,11,43
2022-01-13,50,32,66,0,57
2022-01-14,46,33,65,32,40
2022-01-15,39,31,75,40,38
2022-01-16,36,25,74,47,36
2022-01-17,45,34,66,21,32
2022-01-18,43,29,75,39,30
2022-01-19,42,28,61,21,30
2022-01-20,36,26,59,22,27
2022-01-21,35,27,52,0,24
2022-01-22,32,20,64,0,22
2022-01-23,30,20,60,38,23
2022-01-24,37,25,51,27,22
2022-01-25,37,24,55,0,22
2022-01-26,35,26,64,25,20
2022-01-27,33,22,53,14,18
2022-01-28,28,20,50,41,14
2022-01-29,27,17,54,0,16
2022-01-30,22,12,47,25,13
2022-01-31,27,17,46,51,15
2022-02-01,26,17,41,20,15
2022-02-02,25,18,48,0,13
