day,covid,pcr,fever,no_smell
2021-11-28,28,25,48,51
2021-11-29,32,30,45,75
2021-11-30,33,30,47,51
2021-12-01,31,31,50,51
2021-12-02,31,33,50,52
2021-12-03,32,31,49,48
2021-12-04,25,27,46,45
2021-12-05,23,25,48,41
2021-12-06,29,34,49,65
2021-12-07,28,33,50,51
2021-12-08,28,30,49,59
2021-12-09,29,30,48,52
2021-12-10,27,27,47,41
2021-12-11,24,27,46,47
2021-12-12,21,22,45,62
2021-12-13,30,35,49,60
2021-12-14,34,37,51,41
2021-12-15,35,39,51,41
2021-12-16,41,45,57,52
2021-12-17,44,46,51,42
2021-12-18,45,47,57,62
2021-12-19,46,50,55,74
2021-12-20,62,65,61,66
2021-12-21,69,75,70,72
2021-12-22,74,80,73,54
2021-12-23,71,78,72,100
2021-12-24,65,70,77,89
2021-12-25,46,47,68,53
2021-12-26,65,71,83,59
2021-12-27,86,87,88,92
2021-12-28,100,85,86,81
2021-12-29,87,98,95,70
2021-12-30,86,100,95,61
2021-12-31,74,81,82,49
2022-01-01,59,66,83,60
2022-01-02,71,74,81,75
2022-01-03,85,91,78,66
2022-01-04,89,96,100,80
2022-01-05,96,92,93,71
2022-01-06,75,81,81,61
2022-01-07,80,79,87,57
2022-01-08,72,69,80,92
2022-01-09,65,59,79,60
2022-01-10,73,77,84,69
2022-01-11,68,72,79,67
2022-01-12,72,73,84,79
2022-01-13,67,70,82,71
2022-01-14,60,56,72,69
2022-01-15,53,45,72,56
2022-01-16,43,35,69,67
2022-01-17,46,42,68,56
2022-01-18,61,48,62,55
2022-01-19,86,47,65,40
2022-01-20,83,44,63,57
2022-01-21,75,39,56,49
2022-01-22,52,33,58,77
2022-01-23,34,30,55,67
2022-01-24,40,38,56,33
2022-01-25,34,33,52,47
2022-01-26,34,35,53,38
2022-01-27,32,30,48,46
2022-01-28,31,28,52,35
2022-01-29,26,23,50,56
2022-01-30,23,20,58,45
2022-01-31,30,29,58,53
2022-02-01,27,26,48,41
2022-02-02,25,25,45,41
